complaint_text,product
electric problem urgent,Electricity
tap water dirty,Water Supply
no water,Water Supply
paani nahi aa raha,Water Supply
water cut,Water Supply
tap dry,Water Supply
low water,Water Supply
paani ka pressure kam hai,Water Supply
water leak,Water Supply
pipe leak ho gaya,Water Supply
tank khaali,Water Supply
paani mein badbu hai,Water Supply
muddy water,Water Supply
smelly water,Water Supply
water shortage,Water Supply
nal ka paani ganda hai,Water Supply
paani,Water Supply
water,Water Supply
nal,Water Supply
pipe,Water Supply
tank,Water Supply
no water at home,Water Supply
ghar mein paani nahi aa raha,Water Supply
water cut ho gaya,Water Supply
paani band hai,Water Supply
no water supply,Water Supply
paani ka supply band,Water Supply
tap dry hai,Water Supply
nal se paani nahi aa raha,Water Supply
pipe se paani band,Water Supply
paani nahi aa raha subah se,Water Supply
water ka pressure low,Water Supply
low water pressure,Water Supply
tap water slow,Water Supply
paani leak ho raha hai,Water Supply
water leakage from pipe,Water Supply
pipe se paani gir raha hai,Water Supply
tank khaali ho gaya,Water Supply
water tank empty,Water Supply
paani khatam ho gaya,Water Supply
paani nahi bhar raha,Water Supply
tap se ganda paani aa raha,Water Supply
dirty water supply,Water Supply
paani ka rang badal gaya,Water Supply
brown water aa raha,Water Supply
muddy water aa raha,Water Supply
smelly water supply,Water Supply
water me gandagi hai,Water Supply
water contaminated,Water Supply
paani unsafe hai,Water Supply
paani peene layak nahi hai,Water Supply
paani filter nahi hai,Water Supply
tap broken hai,Water Supply
nal tut gaya,Water Supply
water tap damage,Water Supply
tap ka handle toot gaya,Water Supply
pipe burst ho gaya,Water Supply
pipeline damage,Water Supply
underground pipe leak,Water Supply
overhead tank leak,Water Supply
paani overflow ho raha hai,Water Supply
water overflow,Water Supply
tank se paani gir raha hai,Water Supply
paani bhar gaya tank se,Water Supply
motor kaam nahi kar raha,Water Supply
water pump broken,Water Supply
pump ka switch kaam nahi kar raha,Water Supply
pump se paani nahi aa raha,Water Supply
motor repair chahiye,Water Supply
motor se awaz aa rahi,Water Supply
motor burn smell,Water Supply
water meter kaam nahi kar raha,Water Supply
paani ka bill galat hai,Water Supply
paani ka connection cut,Water Supply
water supply time change,Water Supply
paani jaldi band ho gaya,Water Supply
water timing problem,Water Supply
paani ka schedule change,Water Supply
night water supply band,Water Supply
morning water supply band,Water Supply
water tanker chahiye,Water Supply
paani tanker ki request,Water Supply
emergency water chahiye,Water Supply
no water from tanker,Water Supply
tanker late aaya,Water Supply
tanker se ganda paani aaya,Water Supply
pipe mein hawa aa rahi hai,Water Supply
air lock in water pipe,Water Supply
paani ka flow irregular,Water Supply
water ka flow ruk gaya,Water Supply
paani pressure zyada hai,Water Supply
high pressure se pipe foot gaya,Water Supply
paani se awaz aa rahi,Water Supply
pipe line block ho gaya,Water Supply
water blockage in pipe,Water Supply
line flush karni hai,Water Supply
line mein kachra jam gaya,Water Supply
water ka taste kharab hai,Water Supply
paani mein tel ki smell hai,Water Supply
water smell chemical,Water Supply
chlorine smell zyada hai,Water Supply
water chlorination needed,Water Supply
water filter change karo,Water Supply
RO kaam nahi kar raha,Water Supply
filter water slow hai,Water Supply
paani ki supply irregular,Water Supply
barish mein paani band ho gaya,Water Supply
summer mein paani kam hai,Water Supply
winter mein paani late aata hai,Water Supply
paani ka complaint register karo,Water Supply
jal board ko complaint,Water Supply
water department call karo,Water Supply
jal board ka number chahiye,Water Supply
water supply restore karo,Water Supply
paani ka pressure badhao,Water Supply
pipe repair urgent,Water Supply
motor repair urgent,Water Supply
tank clean karo,Water Supply
overhead tank saaf nahi hai,Water Supply
underground tank saaf karo,Water Supply
paani ka taste change karo,Water Supply
filtered water chahiye,Water Supply
jal supply theek karo,Water Supply
no water since morning,Water Supply
no water since yesterday,Water Supply
water issue urgent,Water Supply
paani ka problem solve karo,Water Supply
paani ka shortage fix karo,Water Supply
paani ka leak repair karo,Water Supply
pipeline change karo,Water Supply
tanker paani jaldi bhejo,Water Supply
emergency jal supply,Water Supply
tap ka nut tight karo,Water Supply
tap fitting theek karo,Water Supply
water ka filter install karo,Water Supply
motor fitting karo,Water Supply
paani ka line extend karo,Water Supply
ghar tak paani ka connection do,Water Supply
pipe ka valve change karo,Water Supply
paani ka bill clear karo,Water Supply
water meter repair karo,Water Supply
paani ka record wrong hai,Water Supply
jal ka connection cut mat karo,Water Supply
jal ka bill zyada aaya,Water Supply
garbage collection missed,Sanitation
kooda nahi utha,Sanitation
overflowing dustbin,Sanitation
waste not cleared,Sanitation
gali ganda hai,Sanitation
trash on road,Sanitation
dirty street,Sanitation
unclean area,Sanitation
garbage smell,Sanitation
garbage heap,Sanitation
kachra bahut jama ho gaya,Sanitation
cleaning staff nahi aaya,Sanitation
public bin full,Sanitation
unclean drains,Sanitation
waste,Sanitation
kachra,Sanitation
kooda,Sanitation
garbage,Sanitation
dustbin,Sanitation
refuse,Sanitation
garbage not collected,Sanitation
kachra nahi uthaya,Sanitation
dustbin overflow ho raha hai,Sanitation
dustbin full hai,Sanitation
overflowing bin,Sanitation
garbage heap road pe,Sanitation
kachra road pe phela hai,Sanitation
street dirty hai,Sanitation
unclean gali,Sanitation
gali mein badbu hai,Sanitation
smelly street,Sanitation
garbage smell aa raha,Sanitation
kachra ki badbu,Sanitation
foul smell from waste,Sanitation
public dustbin full hai,Sanitation
bin ka cover missing,Sanitation
garbage dump road ke side,Sanitation
kachra dump ho gaya,Sanitation
street pe waste,Sanitation
road pe kachra,Sanitation
waste scattered,Sanitation
trash everywhere,Sanitation
drain mein kachra,Sanitation
nali mein waste,Sanitation
garbage blocking drain,Sanitation
kachra bahut jama hai,Sanitation
waste collection late,Sanitation
garbage truck late,Sanitation
kachra gaadi nahi aayi,Sanitation
waste van nahi aayi,Sanitation
municipal waste gaadi missing,Sanitation
garbage pick up missed,Sanitation
cleaning staff absent,Sanitation
safai karmchari nahi aaya,Sanitation
safai staff absent,Sanitation
street cleaning nahi hui,Sanitation
area dirty hai,Sanitation
public area dirty,Sanitation
garden mein kachra,Sanitation
park dirty,Sanitation
playground mein garbage,Sanitation
school ke paas waste,Sanitation
hospital ke bahar garbage,Sanitation
market area dirty,Sanitation
market mein foul smell,Sanitation
safai nahi ho rahi,Sanitation
daily cleaning nahi hoti,Sanitation
weekly cleaning missing,Sanitation
dirty colony,Sanitation
area unhygienic hai,Sanitation
garbage flies aa rahe,Sanitation
kachra pe machhar,Sanitation
waste pe keede makode,Sanitation
garbage se bimari fail rahi,Sanitation
kachra se smell bahut hai,Sanitation
garbage se gandagi fail rahi,Sanitation
open garbage dump,Sanitation
garbage without cover,Sanitation
waste ka dhankna missing,Sanitation
kachra openly phela hai,Sanitation
waste openly dump hua,Sanitation
plastic waste road pe,Sanitation
plastic bags scattered,Sanitation
paper waste everywhere,Sanitation
construction waste road pe,Sanitation
mala kachra jama hai,Sanitation
debris road pe,Sanitation
building waste road pe,Sanitation
waste ka removal karo,Sanitation
garbage removal request,Sanitation
kachra saaf karo,Sanitation
dustbin clean karo,Sanitation
public bin wash karo,Sanitation
bin ka dhakkan lagao,Sanitation
garbage pick up karo,Sanitation
truck bhejo waste le jane,Sanitation
kachra van bhejo,Sanitation
garbage clearance chahiye,Sanitation
bin replace karo,Sanitation
broken bin replace karo,Sanitation
damaged bin replace karo,Sanitation
waste segregation nahi hua,Sanitation
dry waste aur wet waste mix,Sanitation
recycling nahi hua,Sanitation
waste recycle system fail,Sanitation
compost pit overflow,Sanitation
garbage dump remove karo,Sanitation
kachra jal raha hai,Sanitation
burning garbage smell,Sanitation
smoke from waste burning,Sanitation
illegal garbage dump,Sanitation
kachra illegal dump ho raha,Sanitation
private property pe waste dump,Sanitation
roadside waste pick karo,Sanitation
road cleaning urgent,Sanitation
safai urgent chahiye,Sanitation
emergency cleaning,Sanitation
festival ke baad waste,Sanitation
mela ke baad garbage,Sanitation
event ke baad kachra,Sanitation
waste clearance after function,Sanitation
animal waste road pe,Sanitation
dog waste,Sanitation
cow dung road pe,Sanitation
bird droppings,Sanitation
animal dead body road pe,Sanitation
dead animal smell,Sanitation
waste se badbu bahut,Sanitation
gali saaf nahi hai,Sanitation
slum area dirty,Sanitation
basti mein kachra,Sanitation
unauthorised dumping,Sanitation
garbage ka illegal disposal,Sanitation
night cleaning nahi hoti,Sanitation
morning cleaning nahi hoti,Sanitation
cleaning schedule follow nahi,Sanitation
maintenance fail,Sanitation
street sweep nahi hui,Sanitation
road pe mitti,Sanitation
dust pollution road pe,Sanitation
kachra se road block,Sanitation
bin relocate karo,Sanitation
waste ka bin shift karo,Sanitation
extra bins chahiye,Sanitation
bin shortage,Sanitation
large bin chahiye,Sanitation
community bin install karo,Sanitation
gutter mein garbage,Sanitation
drain ka cover garbage se block,Sanitation
waste collection point dirty,Sanitation
waste dump smell,Sanitation
garbage pickup daily karo,Sanitation
weekly pickup kam hai,Sanitation
public toilet dirty,Sanitation
urinal dirty,Sanitation
toilet smell,Sanitation
washroom cleaning chahiye,Sanitation
public restroom ka maintenance nahi,Sanitation
toilet ka flush broken,Sanitation
urinal ka water supply band,Sanitation
public toilet ke bahar waste,Sanitation
toilet ke paas kachra,Sanitation
road potholes,Road Maintenance
road mein gaddha,Road Maintenance
bumpy road,Road Maintenance
sadak toot gayi,Road Maintenance
road crack,Road Maintenance
hole in road,Road Maintenance
road damaged,Road Maintenance
bridge pe crack hai,Road Maintenance
footpath tut gaya,Road Maintenance
road unsafe,Road Maintenance
manhole cover missing,Road Maintenance
cycle track broken,Road Maintenance
bad road,Road Maintenance
sadak,Road Maintenance
road,Road Maintenance
gaddha,Road Maintenance
bridge,Road Maintenance
footpath,Road Maintenance
asphalt,Road Maintenance
street,Road Maintenance
sadak pe gaddha hai,Road Maintenance
uneven road surface,Road Maintenance
sadak mein crack,Road Maintenance
sadak mein bada hole,Road Maintenance
sadak damage ho gaya,Road Maintenance
pull toot raha hai,Road Maintenance
sidewalk broken,Road Maintenance
footpath ka tile nikal gaya,Road Maintenance
cycle path damage,Road Maintenance
dangerous road,Road Maintenance
manhole ka dhakkan khula,Road Maintenance
open manhole,Road Maintenance
road ke beech hole hai,Road Maintenance
sadak kharab hai,Road Maintenance
road tar kharab,Road Maintenance
gali kharab,Road Maintenance
road patching needed,Road Maintenance
sadak patch karo,Road Maintenance
asphalt lagana hai,Road Maintenance
road resurfacing chahiye,Road Maintenance
road widening request,Road Maintenance
sadak chaurai badhao,Road Maintenance
road ka paint gayab,Road Maintenance
lane marking missing,Road Maintenance
speed breaker broken,Road Maintenance
bump kharab hai,Road Maintenance
speed hump missing,Road Maintenance
road signs missing,Road Maintenance
signboard gira hua,Road Maintenance
road pe debris hai,Road Maintenance
stones road pe,Road Maintenance
mud road pe,Road Maintenance
road pe construction waste,Road Maintenance
repair ka kaam incomplete,Road Maintenance
roadwork chal raha hai,Road Maintenance
construction se road block,Road Maintenance
detour road,Road Maintenance
road diversion ka board missing,Road Maintenance
streetlight ke pole se road block,Road Maintenance
flood water road pe,Road Maintenance
paani se road damage,Road Maintenance
rain se road kharab,Road Maintenance
snow road pe,Road Maintenance
ice se road slippery,Road Maintenance
road slippery hai,Road Maintenance
oil spill road pe,Road Maintenance
tar coal nikal raha,Road Maintenance
cement road crack,Road Maintenance
paver block broken,Road Maintenance
footpath pe obstacle,Road Maintenance
sidewalk pe debris,Road Maintenance
footpath ka slope kharab,Road Maintenance
crosswalk ka paint missing,Road Maintenance
zebra crossing faint ho gaya,Road Maintenance
signal ke paas road kharab,Road Maintenance
junction pe gaddha,Road Maintenance
highway damaged,Road Maintenance
expressway ka patch kharab,Road Maintenance
service road kharab,Road Maintenance
internal road kharab,Road Maintenance
residential road crack,Road Maintenance
industrial area road damage,Road Maintenance
market road broken,Road Maintenance
school ke paas road kharab,Road Maintenance
hospital ke paas road kharab,Road Maintenance
bus stop ke paas road damage,Road Maintenance
railway crossing road broken,Road Maintenance
culvert damage,Road Maintenance
drain cover broken,Road Maintenance
roadside slope collapse,Road Maintenance
embankment damaged,Road Maintenance
road pe weeds ug gaye,Road Maintenance
overgrown grass footpath pe,Road Maintenance
tree roots road tod diye,Road Maintenance
road block by fallen tree,Road Maintenance
road block by landslide,Road Maintenance
road block by accident,Road Maintenance
road cleaning chahiye,Road Maintenance
dust pollution road pe,Road Maintenance
muddy road,Road Maintenance
kachcha road kharab,Road Maintenance
road grading needed,Road Maintenance
gravel road damaged,Road Maintenance
brick road broken,Road Maintenance
road ka surface uneven,Road Maintenance
road erosion,Road Maintenance
road ka shoulder collapse,Road Maintenance
speed breaker height jyada,Road Maintenance
speed breaker galat jagah,Road Maintenance
rumble strips missing,Road Maintenance
cat eye reflector missing,Road Maintenance
median pe crack,Road Maintenance
divider toot gaya,Road Maintenance
road widening ka kaam incomplete,Road Maintenance
pothole filling needed,Road Maintenance
patch repair pending,Road Maintenance
asphalt ka layer utar gaya,Road Maintenance
road base weak,Road Maintenance
road sinking ho raha hai,Road Maintenance
road subsidence,Road Maintenance
flyover joint broken,Road Maintenance
overbridge damage,Road Maintenance
underpass water logging,Road Maintenance
tunnel wall crack,Road Maintenance
parking lot damage,Road Maintenance
bus bay ka surface kharab,Road Maintenance
foot overbridge floor broken,Road Maintenance
cycle lane marking missing,Road Maintenance
bike lane damaged,Road Maintenance
road accident ke baad repair nahi hua,Road Maintenance
road corner sharp without marking,Road Maintenance
blind turn pe warning sign missing,Road Maintenance
traffic signals off,Public Lighting
signal kaam nahi kar raha,Public Lighting
street lamp off,Public Lighting
lamp post broken,Public Lighting
lamp flicker,Public Lighting
signal dead,Public Lighting
traffic light issue,Public Lighting
lamp out,Public Lighting
pole light off,Public Lighting
street light dead,Public Lighting
signal not blinking,Public Lighting
signal damaged,Public Lighting
post light missing,Public Lighting
signal,Public Lighting
lamp,Public Lighting
pole,Public Lighting
streetlight,Public Lighting
traffic light,Public Lighting
light post,Public Lighting
lamp post,Public Lighting
traffic signal band hai,Public Lighting
signal kharab,Public Lighting
signal light fused,Public Lighting
signal light ka bulb fused,Public Lighting
signal light not changing,Public Lighting
red light kaam nahi kar rahi,Public Lighting
green light not working,Public Lighting
yellow light not blinking,Public Lighting
pedestrian signal off,Public Lighting
crosswalk light missing,Public Lighting
streetlight broken,Public Lighting
streetlight ka pole gir gaya,Public Lighting
light post tilted,Public Lighting
lamp ke wire cut gaye,Public Lighting
light switch box broken,Public Lighting
streetlight ka cover missing,Public Lighting
pole pe light blink ho rahi hai,Public Lighting
streetlight continuously on,Public Lighting
streetlight din mein jal raha hai,Public Lighting
automatic light sensor fail,Public Lighting
lamp ka glass toot gaya,Public Lighting
streetlight ka bulb change karo,Public Lighting
lamp ka choke kharab,Public Lighting
lamp ka starter fail,Public Lighting
LED streetlight band,Public Lighting
sodium light fused,Public Lighting
halogen lamp not working,Public Lighting
light tower off,Public Lighting
high mast light off,Public Lighting
stadium light not working,Public Lighting
public park lamp off,Public Lighting
garden light fused,Public Lighting
footpath light missing,Public Lighting
foot overbridge light off,Public Lighting
underpass light missing,Public Lighting
tunnel light not working,Public Lighting
signal ka timer display off,Public Lighting
signal ke countdown kaam nahi kar raha,Public Lighting
traffic light pe spider web,Public Lighting
signal ke pole pe rust,Public Lighting
lamp ke pole pe short circuit,Public Lighting
pole se spark aa raha hai,Public Lighting
pole ke wire exposed hai,Public Lighting
streetlight pole pe hanging wire,Public Lighting
lamp ka base loose,Public Lighting
light post pe dent,Public Lighting
pole crooked,Public Lighting
streetlight pe poster laga hai,Public Lighting
lamp shade dirty,Public Lighting
lamp shade missing,Public Lighting
lamp water se fill ho gaya,Public Lighting
lamp me moisture,Public Lighting
lamp tube black ho gaya,Public Lighting
light ka connector loose,Public Lighting
lamp ka ballast burnt,Public Lighting
light ke switch box ka lock missing,Public Lighting
switch box khula hai,Public Lighting
lamp ka bracket broken,Public Lighting
streetlight ke neeche paani jama,Public Lighting
lamp ka cover yellow ho gaya,Public Lighting
lamp ka brightness low,Public Lighting
lamp dim ho gaya,Public Lighting
light ka voltage low,Public Lighting
lamp over bright,Public Lighting
lamp glare zyada hai,Public Lighting
lamp ka beam angle galat,Public Lighting
pole pe lamp ka alignment galat,Public Lighting
lamp ka focus road pe nahi hai,Public Lighting
lamp ka design kharab,Public Lighting
pole pe paint utar gaya,Public Lighting
light pole girne wala hai,Public Lighting
lamp ka nut bolt loose,Public Lighting
streetlight maintenance pending,Public Lighting
light ka annual service due,Public Lighting
lamp ke spare part missing,Public Lighting
signal pole ka paint fade,Public Lighting
signal pole crooked,Public Lighting
signal ka housing toot gaya,Public Lighting
signal ka visor missing,Public Lighting
traffic light lens crack,Public Lighting
traffic light ka LED module fail,Public Lighting
signal ke bulb ka holder loose,Public Lighting
signal ke bulb water se bhar gaya,Public Lighting
signal ke wires cut,Public Lighting
signal ke wires chori ho gaye,Public Lighting
lamp post ka earthing missing,Public Lighting
streetlight grounding fail,Public Lighting
lamp ka fuse board burnt,Public Lighting
signal ke control box ka lock broken,Public Lighting
control box ka door missing,Public Lighting
lamp ka maintenance slip missing,Public Lighting
signal pole pe dent,Public Lighting
lamp ka circuit breaker trip ho gaya,Public Lighting
streetlight ka MCCB faulty,Public Lighting
signal ke junction box khula,Public Lighting
signal ke cable exposed,Public Lighting
streetlight timer fail,Public Lighting
signal ke timer ka battery khatam,Public Lighting
lamp ka photocell fail,Public Lighting
automatic light system fail,Public Lighting
lamp ka wiring loose,Public Lighting
pole ke neeche open junction box,Public Lighting
lamp ke fuse kharab,Public Lighting
signal ke bulb black ho gaya,Public Lighting
traffic light pe dust,Public Lighting
signal ka lens dirty,Public Lighting
lamp ka glass dirty,Public Lighting
lamp ka reflector black,Public Lighting
lamp ka reflector missing,Public Lighting
lamp ka color badal gaya,Public Lighting
light ka mount loose,Public Lighting
lamp ka arm bend,Public Lighting
signal pole ka anchor bolt loose,Public Lighting
pole ka base crack,Public Lighting
lamp ka power supply fail,Public Lighting
signal ka SMPS burnt,Public Lighting
lamp ke switch board me short,Public Lighting
lamp ka MCB trip,Public Lighting
lamp ka circuit faulty,Public Lighting
lamp ke PCB burnt,Public Lighting
lamp ka driver fail,Public Lighting
lamp ka LED strip loose,Public Lighting
gas smell,Gas Leaks
gas leak ho raha,Gas Leaks
pipeline leak,Gas Leaks
gas pipe burst,Gas Leaks
gas leakage near home,Gas Leaks
gas odor,Gas Leaks
gas leak kitchen,Gas Leaks
pipeline crack,Gas Leaks
LPG leak,Gas Leaks
cylinder leak,Gas Leaks
smell gas,Gas Leaks
gas escaping,Gas Leaks
gas hazard,Gas Leaks
gas,Gas Leaks
lpg,Gas Leaks
smell,Gas Leaks
cylinder,Gas Leaks
pipeline,Gas Leaks
gas leak,Gas Leaks
cylinder se gas nikal raha,Gas Leaks
gas pipe se leak,Gas Leaks
pipeline se badbu,Gas Leaks
kitchen me gas ki smell,Gas Leaks
gas connection leak,Gas Leaks
burner se gas aa raha,Gas Leaks
stove se gas leak,Gas Leaks
regulator leak,Gas Leaks
LPG ka regulator kharab,Gas Leaks
gas pipe loose,Gas Leaks
pipe connection loose,Gas Leaks
gas ka knob loose,Gas Leaks
stove ka valve leak,Gas Leaks
burner ka seal kharab,Gas Leaks
pipeline ka joint leak,Gas Leaks
gas tank se leak,Gas Leaks
underground pipe leak,Gas Leaks
LPG tanker leak,Gas Leaks
gas tanker se smell,Gas Leaks
gas chamber leak,Gas Leaks
industrial gas leak,Gas Leaks
factory me gas leak,Gas Leaks
plant me gas ki smell,Gas Leaks
boiler se gas leak,Gas Leaks
gas cylinder phat gaya,Gas Leaks
LPG ka cylinder blast,Gas Leaks
cylinder se seeti ki awaaz,Gas Leaks
gas ka pressure zyada,Gas Leaks
gas ka pressure kam,Gas Leaks
gas meter se leak,Gas Leaks
meter ka seal toot gaya,Gas Leaks
gas pipe ka coating kharab,Gas Leaks
pipeline ka rust lag gaya,Gas Leaks
pipe pe dent,Gas Leaks
gas line se bubbles aa raha,Gas Leaks
water test me leak,Gas Leaks
gas ka gauge fail,Gas Leaks
gauge se gas leak,Gas Leaks
gas pipe ka clamp loose,Gas Leaks
gas hose kharab,Gas Leaks
hose ka naya lagana hai,Gas Leaks
old gas pipe crack,Gas Leaks
gas pipe hard ho gaya,Gas Leaks
pipe ka colour change,Gas Leaks
gas smell basement me,Gas Leaks
parking area me gas smell,Gas Leaks
balcony me gas leak,Gas Leaks
roof pe gas pipeline leak,Gas Leaks
pipeline ka nut bolt loose,Gas Leaks
gas plant explosion risk,Gas Leaks
chemical gas leak,Gas Leaks
poisonous gas leak,Gas Leaks
toxic gas smell,Gas Leaks
ammonia leak,Gas Leaks
chlorine gas leak,Gas Leaks
carbon monoxide leak,Gas Leaks
CO leak,Gas Leaks
CNG leak,Gas Leaks
PNG leak,Gas Leaks
natural gas leak,Gas Leaks
methane leak,Gas Leaks
gas sensor alarm,Gas Leaks
gas detector beeping,Gas Leaks
gas alarm baj raha,Gas Leaks
gas ka red indicator on,Gas Leaks
gas warning light,Gas Leaks
pipeline ka valve kharab,Gas Leaks
main gas valve se leak,Gas Leaks
isolation valve fail,Gas Leaks
shut off valve kaam nahi kar raha,Gas Leaks
gas flow stop nahi ho raha,Gas Leaks
pressure relief valve se leak,Gas Leaks
gas ka emergency stop fail,Gas Leaks
pipe ka welding crack,Gas Leaks
gas joint se seeti awaaz,Gas Leaks
burner ignition ke baad smell,Gas Leaks
gas stove on karte hi smell,Gas Leaks
cylinder seal kharab,Gas Leaks
cylinder cap loose,Gas Leaks
gas ka cap toot gaya,Gas Leaks
rubber washer missing,Gas Leaks
rubber seal kharab,Gas Leaks
gasket crack,Gas Leaks
O-ring se leak,Gas Leaks
gas fitting loose,Gas Leaks
fitting ka nut loose,Gas Leaks
flange joint se leak,Gas Leaks
gas pipeline test fail,Gas Leaks
pressure test fail,Gas Leaks
vacuum test fail,Gas Leaks
gas leak emergency,Gas Leaks
gas evacuation required,Gas Leaks
public area me gas leak,Gas Leaks
market me gas leak,Gas Leaks
school ke pass gas leak,Gas Leaks
hospital ke pass gas leak,Gas Leaks
residential area me gas smell,Gas Leaks
colony me gas leak,Gas Leaks
apartment me gas leak,Gas Leaks
flat ke kitchen me leak,Gas Leaks
shop me gas leak,Gas Leaks
restaurant me gas leak,Gas Leaks
hotel kitchen gas leak,Gas Leaks
canteen me gas smell,Gas Leaks
dhaba me gas leak,Gas Leaks
industrial zone me gas leak,Gas Leaks
petrol pump ke pass gas leak,Gas Leaks
pipeline burst,Gas Leaks
pipe rupture,Gas Leaks
gas ka spray aa raha,Gas Leaks
gas pipeline blast,Gas Leaks
pipeline me crack,Gas Leaks
gas chamber me leak,Gas Leaks
cylinder godown me leak,Gas Leaks
LPG storage tank leak,Gas Leaks
storage vessel crack,Gas Leaks
gas truck se leak,Gas Leaks
delivery cylinder se leak,Gas Leaks
pipeline alignment galat,Gas Leaks
pipe vibration se leak,Gas Leaks
gas ka hiss sound,Gas Leaks
gas ka continuous smell,Gas Leaks
strong gas odor,Gas Leaks
mild gas smell,Gas Leaks
intermittent gas smell,Gas Leaks
kabhi kabhi gas smell,Gas Leaks
gas smell after rain,Gas Leaks
gas smell after digging,Gas Leaks
pipeline damage construction se,Gas Leaks
road digging me pipeline cut,Gas Leaks
JCB se pipeline damage,Gas Leaks
drilling se pipe cut,Gas Leaks
gas pipe bent,Gas Leaks
pipe dent se leak,Gas Leaks
line pressure drop,Gas Leaks
meter reading me error,Gas Leaks
meter reading abnormal,Gas Leaks
meter ka dial fast,Gas Leaks
meter ka needle stuck,Gas Leaks
gas ka bill high after leak,Gas Leaks
gas ka bill low after leak,Gas Leaks
pipeline ka colour change,Gas Leaks
pipe surface blister,Gas Leaks
pipeline sweating,Gas Leaks
condensation on gas pipe,Gas Leaks
pipeline pe ice ban raha,Gas Leaks
cold gas pipe,Gas Leaks
